사고일시,선박종류,사고유형,기상상태,해상상태,발생해역,인명피해수,풍속(m/s)
2024-04-12,어선,침수,맑음,거침,동해,0,8.3
2024-06-28,화물선,기관고장,흐림,거침,제주 인근,0,15.6
2024-04-02,화물선,침수,맑음,매우 거침,제주 인근,4,10.3
2024-01-15,어선,좌초,맑음,잔잔함,서해,2,4.1
2024-04-16,어선,좌초,맑음,거침,제주 인근,1,23.1
2024-03-12,어선,기관고장,안개,잔잔함,동해,3,5.1
2024-07-07,여객선,침수,강풍,매우 거침,제주 인근,1,23.9
2024-01-21,유조선,충돌,맑음,보통,서해,4,12.3
2024-04-12,어선,기관고장,강풍,거침,남해,0,6.3
2024-05-01,레저보트,좌초,폭우/폭설,잔잔함,동해,0,14.5
2024-03-15,어선,좌초,흐림,잔잔함,남해,3,22.1
2024-03-28,레저보트,기관고장,폭우/폭설,거침,서해,0,18.8
2024-04-26,화물선,침수,폭우/폭설,보통,서해,0,20.6
2024-04-09,어선,좌초,안개,보통,서해,3,17.2
2024-04-13,어선,침수,흐림,보통,남해,3,17.9
2024-05-31,여객선,좌초,폭우/폭설,매우 거침,남해,4,21.5
2024-05-10,여객선,좌초,폭우/폭설,잔잔함,남해,0,7.7
2024-05-29,화물선,화재/폭발,흐림,잔잔함,남해,0,13.3
2024-02-22,화물선,좌초,흐림,잔잔함,서해,4,7.1
2024-01-02,화물선,충돌,폭우/폭설,매우 거침,서해,2,24.7
2024-03-28,화물선,기관고장,흐림,잔잔함,동해,2,23.7
2024-06-06,어선,기관고장,폭우/폭설,매우 거침,동해,2,2.9
2024-02-07,어선,침수,폭우/폭설,보통,남해,4,18.2
2024-05-09,어선,좌초,안개,거침,제주 인근,0,23.3
2024-07-10,레저보트,충돌,맑음,잔잔함,제주 인근,4,6.2
2024-07-06,화물선,침수,폭우/폭설,잔잔함,서해,4,15.1
2024-01-21,레저보트,화재/폭발,강풍,보통,서해,2,23.1
2024-06-09,어선,침수,맑음,거침,서해,1,2.8
2024-02-27,레저보트,침수,맑음,매우 거침,동해,0,18.0
2024-01-22,유조선,좌초,맑음,거침,동해,2,8.8
2024-03-29,어선,화재/폭발,안개,보통,서해,1,23.3
2024-02-18,화물선,침수,폭우/폭설,보통,서해,1,24.3
2024-02-28,여객선,충돌,안개,거침,서해,3,23.7
2024-06-18,레저보트,충돌,폭우/폭설,매우 거침,제주 인근,0,12.9
2024-07-06,어선,기관고장,안개,매우 거침,동해,1,21.8
2024-01-15,어선,화재/폭발,안개,잔잔함,제주 인근,2,21.4
2024-07-08,유조선,화재/폭발,강풍,매우 거침,제주 인근,3,9.3
2024-07-08,레저보트,기관고장,안개,거침,서해,0,21.1
2024-06-23,어선,침수,흐림,보통,서해,4,2.9
2024-07-08,어선,화재/폭발,강풍,잔잔함,남해,2,15.7
2024-02-20,레저보트,충돌,안개,잔잔함,남해,1,7.3
2024-04-17,어선,충돌,맑음,보통,제주 인근,1,4.8
2024-02-24,화물선,좌초,흐림,매우 거침,동해,2,3.8
2024-03-04,레저보트,화재/폭발,흐림,보통,서해,1,18.0
2024-05-10,여객선,침수,흐림,매우 거침,서해,3,9.8
2024-02-20,유조선,기관고장,강풍,보통,제주 인근,0,18.7
2024-05-14,어선,기관고장,안개,거침,남해,3,3.5
2024-01-21,화물선,침수,안개,매우 거침,동해,1,9.3
2024-03-13,여객선,좌초,맑음,거침,남해,4,14.4
2024-06-15,어선,기관고장,맑음,잔잔함,남해,0,20.2
2024-01-18,어선,화재/폭발,흐림,보통,남해,0,9.3
2024-05-11,레저보트,좌초,맑음,잔잔함,남해,2,16.4
2024-03-29,화물선,화재/폭발,강풍,잔잔함,서해,2,22.4
2024-02-29,어선,충돌,안개,잔잔함,서해,4,16.2
2024-01-14,레저보트,좌초,흐림,잔잔함,남해,0,7.4
2024-01-09,레저보트,기관고장,맑음,보통,동해,4,2.6
2024-03-30,화물선,좌초,강풍,잔잔함,제주 인근,2,22.0
2024-02-22,레저보트,좌초,강풍,보통,동해,2,2.5
2024-05-09,어선,좌초,맑음,보통,동해,0,22.1
2024-03-24,어선,좌초,안개,거침,동해,3,14.2
2024-04-01,유조선,화재/폭발,맑음,매우 거침,남해,1,23.6
2024-04-20,레저보트,충돌,흐림,매우 거침,서해,2,20.4
2024-07-06,레저보트,침수,맑음,보통,동해,2,25.0
2024-07-17,화물선,좌초,강풍,거침,남해,3,10.1
2024-06-20,레저보트,기관고장,맑음,보통,동해,3,19.6
2024-01-08,레저보트,좌초,안개,보통,동해,4,11.2
2024-06-23,레저보트,기관고장,폭우/폭설,보통,남해,4,13.0
2024-02-04,유조선,화재/폭발,맑음,거침,서해,1,16.4
2024-03-21,여객선,기관고장,안개,매우 거침,서해,1,22.1
2024-06-12,화물선,침수,안개,거침,제주 인근,0,24.6
2024-02-19,어선,충돌,강풍,잔잔함,남해,4,19.7
2024-04-13,레저보트,기관고장,안개,거침,제주 인근,2,11.6
2024-05-11,레저보트,기관고장,안개,거침,제주 인근,4,11.7
2024-01-02,어선,충돌,안개,거침,제주 인근,2,19.0
2024-05-13,어선,침수,안개,거침,서해,3,7.5
2024-02-23,화물선,좌초,흐림,매우 거침,남해,4,4.5
2024-04-15,화물선,기관고장,흐림,잔잔함,제주 인근,3,10.2
2024-01-04,레저보트,충돌,강풍,매우 거침,남해,1,8.6
2024-02-23,어선,화재/폭발,맑음,매우 거침,남해,1,8.8
